,date_time,return
0,s0d1001,0.020568229
1,s1d1001,-0.007208777
2,s2d1001,0.017325361
3,s3d1001,0.029526253
4,s4d1001,0.049464711
5,s5d1001,0.058893101
6,s6d1001,0.016131604
7,s7d1001,0.059342714
8,s8d1001,0.035704691
9,s9d1001,0.009942019
10,s10d1001,0.039878762
11,s11d1001,0.0472431
12,s12d1001,0.024596418
13,s13d1001,0.019687547
14,s14d1001,0.055006316
15,s15d1001,0.079248624
16,s16d1001,0.018330862
17,s17d1001,0.03425218
18,s18d1001,0.086891994
19,s19d1001,0.060134008
20,s20d1001,-0.008495061
21,s21d1001,0.044528138
22,s22d1001,0.021182321
23,s23d1001,0.077148506
24,s24d1001,0.010269389
25,s25d1001,0.029620811
26,s26d1001,0.032410939
27,s27d1001,0.047841127
28,s28d1001,0.036445826
29,s29d1001,0.049346533
30,s30d1001,0.079852935
31,s31d1001,0.054046395
32,s32d1001,0.031744734
33,s33d1001,0.048630209
34,s34d1001,0.008629261
35,s35d1001,0.009172008
36,s36d1001,0.033554297
37,s37d1001,0.038673243
38,s38d1001,-0.021141663
39,s39d1001,0.012181951
40,s40d1001,0.071576946
41,s41d1001,0.022388322
42,s42d1001,0.058448612
43,s43d1001,0.058546839
44,s44d1001,0.026296157
45,s45d1001,0.025847153
46,s46d1001,0.043859735
47,s47d1001,0.028504002
48,s48d1001,0.034971436
49,s49d1001,0.034481289
50,s50d1001,0.045258831
51,s51d1001,0.047128988
52,s52d1001,0.031728951
53,s53d1001,0.031326617
54,s0d1002,0.01154511
55,s1d1002,0.040064166
56,s2d1002,0.027256773
57,s3d1002,0.029223514
58,s4d1002,-0.003796016
59,s5d1002,0.023606883
60,s6d1002,0.006329279
61,s7d1002,0.035408888
62,s8d1002,0.02900483
63,s9d1002,0.046872737
64,s10d1002,0.034912061
65,s11d1002,0.030679648
66,s12d1002,0.015600715
67,s13d1002,0.013630942
68,s14d1002,0.028710334
69,s15d1002,0.064134707
70,s16d1002,0.011498918
71,s17d1002,0.033675451
72,s18d1002,0.015693865
73,s19d1002,0.030035008
74,s20d1002,-0.001873819
75,s21d1002,0.043034757
76,s22d1002,0.035075531
77,s23d1002,0.057176976
78,s24d1002,0.010174374
79,s25d1002,0.028835124
80,s26d1002,0.024725071
81,s27d1002,0.003536499
82,s28d1002,0.013716661
83,s29d1002,0.026152905
84,s30d1002,0.031157192
85,s31d1002,0.043169021
86,s32d1002,0.073359841
87,s33d1002,0.03548283
88,s34d1002,0.012860772
89,s35d1002,-0.003983663
90,s36d1002,0.029118146
91,s37d1002,0.017250853
92,s38d1002,-0.026604523
93,s39d1002,0.01520008
94,s40d1002,0.067781758
95,s41d1002,0.031442956
96,s42d1002,0.019115114
97,s43d1002,-0.000818805
98,s44d1002,0.035070594
99,s45d1002,0.031839112
100,s46d1002,-0.001445217
101,s47d1002,0.022300804
102,s48d1002,0.026105514
103,s49d1002,0.021740029
104,s50d1002,0.012742697
105,s51d1002,0.042346501
106,s52d1002,0.010790502
107,s53d1002,0.013056693
108,s0d1003,0.021110391
109,s1d1003,0.035913292
110,s2d1003,0.023048284
111,s3d1003,0.014350469
112,s4d1003,0.014010894
113,s5d1003,0.003474907
114,s6d1003,0.006329279
115,s7d1003,0.014744462
116,s8d1003,0.043478261
117,s9d1003,0.078736965
118,s10d1003,0.02589278
119,s11d1003,0.007615977
120,s12d1003,0.007063314
121,s13d1003,0.018601322
122,s14d1003,0.050550538
123,s15d1003,0.036712157
124,s16d1003,0.013092782
125,s17d1003,0.016558911
126,s18d1003,0.029548712
127,s19d1003,0.023879496
128,s20d1003,-0.009508505
129,s21d1003,0.025222061
130,s22d1003,0.024447252
131,s23d1003,0.043760448
132,s24d1003,0.01755842
133,s25d1003,0.061757802
134,s26d1003,0.020180843
135,s27d1003,0.034164383
136,s28d1003,0.026806127
137,s29d1003,0.009835703
138,s30d1003,-0.017968879
139,s31d1003,0.025637579
140,s32d1003,0.086537014
141,s33d1003,0.012155721
142,s34d1003,0.008537831
143,s35d1003,0.026462123
144,s36d1003,-0.003913475
145,s37d1003,0.01519695
146,s38d1003,-0.007197232
147,s39d1003,0.0
148,s40d1003,0.016953608
149,s41d1003,0.027112703
150,s42d1003,0.003533603
151,s43d1003,-0.019377499
152,s44d1003,0.035103764
153,s45d1003,0.014180809
154,s46d1003,0.058097475
155,s47d1003,0.030442773
156,s48d1003,0.031807908
157,s49d1003,0.018330862
158,s50d1003,-0.002063887
159,s51d1003,0.051445071
160,s52d1003,0.02076424
161,s53d1003,-0.00116457
162,s0d1004,-0.002853335
163,s1d1004,-0.028505056
164,s2d1004,-0.013266777
165,s3d1004,-0.007749548
166,s4d1004,-0.010164772
167,s5d1004,-0.001149797
168,s6d1004,-0.012604933
169,s7d1004,-0.00537299
170,s8d1004,0.013360225
171,s9d1004,0.026114356
172,s10d1004,0.019681574
173,s11d1004,-0.018891682
174,s12d1004,-0.018157132
175,s13d1004,-0.021562065
176,s14d1004,0.0
177,s15d1004,0.006764152
178,s16d1004,-0.006486559
179,s17d1004,-0.003273937
180,s18d1004,0.035403939
181,s19d1004,-0.001465166
182,s20d1004,-0.037670861
183,s21d1004,0.005594172
184,s22d1004,-0.010816494
185,s23d1004,-0.015088552
186,s24d1004,-0.002746196
187,s25d1004,0.020503551
188,s26d1004,-0.009873621
189,s27d1004,0.015701098
190,s28d1004,-0.014249853
191,s29d1004,-0.008175207
192,s30d1004,-0.019917501
193,s31d1004,0.03219697
194,s32d1004,0.02427857
195,s33d1004,-0.02403379
196,s34d1004,-0.010572518
197,s35d1004,-0.005598556
198,s36d1004,-0.026030429
199,s37d1004,-0.012059862
200,s38d1004,-0.040192852
201,s39d1004,-0.005993932
202,s40d1004,-0.039060929
203,s41d1004,-0.012198798
204,s42d1004,-0.015240928
205,s43d1004,-0.004910111
206,s44d1004,-0.001833312
207,s45d1004,-0.006166247
208,s46d1004,0.019944764
209,s47d1004,-0.006675984
210,s48d1004,0.011737203
211,s49d1004,-0.004092337
212,s50d1004,0.014672228
213,s51d1004,0.021857783
214,s52d1004,-0.003954784
215,s53d1004,-0.049180486
216,s0d1005,0.015037012
217,s1d1005,0.016753214
218,s2d1005,0.042116857
219,s3d1005,0.007709088
220,s4d1005,0.076642034
221,s5d1005,0.027712505
222,s6d1005,0.006315461
223,s7d1005,0.015008977
224,s8d1005,0.012937973
225,s9d1005,0.021904504
226,s10d1005,0.043918477
227,s11d1005,-0.003491814
228,s12d1005,0.015425679
229,s13d1005,-0.000925556
230,s14d1005,0.009019054
231,s15d1005,0.051018945
232,s16d1005,0.011313121
233,s17d1005,0.019536282
234,s18d1005,0.076049748
235,s19d1005,0.030612367
236,s20d1005,0.079726489
237,s21d1005,0.014898531
238,s22d1005,0.020968732
239,s23d1005,0.035581936
240,s24d1005,0.012720837
241,s25d1005,0.028418496
242,s26d1005,0.016486203
243,s27d1005,-0.00648353
244,s28d1005,0.00385198
245,s29d1005,0.038965488
246,s30d1005,0.005629606
247,s31d1005,0.047727826
