,0
0,-0.0009801229772848866
1,-0.0007006479376864359
2,-0.0006992203570614728
3,-0.0010315948196844447
4,-0.0014209882370547402
5,-0.0023204252528733604
6,-0.0011631260225080757
7,-0.0024825265024091235
8,-0.0013430952914006483
9,-0.0021427946545964933
10,-0.0011530753254640116
11,-0.0033445275342246714
12,-0.003582789055909648
13,-0.0018368574482107696
14,-0.0012851452021965517
15,-0.0019295742907491156
16,-0.0027297567893694464
17,-0.0013052012101438647
18,-0.00258277072666388
19,-0.0022903940585395997
20,-0.0025013607665799725
21,0.003763303470572434
22,-0.005848458784987281
23,-0.006952418163902832
24,-0.006534016649486815
25,-0.0018345520730525984
26,-0.0018190004703408733
27,-0.002675136788158807
28,-0.0026707718701018974
29,-0.0022021997736345715
30,-0.0014723881145728918
31,-0.001193496208669929
32,-0.0017817358565963724
33,-0.003362514875515291
34,-0.000921333692337243
35,-0.0022557526728465196
36,-0.0018315789381002992
37,-0.002896997548517334
38,-0.0015724452107676442
39,-0.0015056572765273458
40,-0.0016605044666982921
41,-0.0006104129913466179
42,-0.0016087251294049669
43,-0.005397924355223665
44,-0.0044429305270604555
45,-0.001822384642609096
46,-0.00314319932949916
47,-0.0017383891030019931
48,-0.0015284374564656202
49,-0.0011139978872120437
50,-0.001011336888806307
51,-0.0018247284817965448
52,-0.001143109554745913
53,-0.0005195281445357905
54,-0.0006218952984783843
55,-0.0015993110911015247
56,-0.0008534392451737096
57,-0.002170000922148212
58,-0.0009435699899843029
59,0.00022080079225362485
60,-0.0006283786368779113
61,-0.00024953019131434585
62,-0.00019841528571254343
63,-0.00033974323138698075
64,-0.0005239288165511061
65,-0.0006681525810047781
66,-0.0003418290280919325
67,7.703534277869826e-05
68,-0.0008027402224362601
69,-0.0005402797664014304
70,-0.0016992423972551273
71,-0.0006548408524016695
72,-0.0009513212505341912
73,-0.002041520333082924
74,-0.0014894307181770663
75,-0.0011454314168378617
76,-0.0004403275371362451
77,-0.0007194645657054976
78,-0.0008625554973552517
79,-0.0009284335023554812
80,-0.0008837380935741374
81,2.76349235774501e-05
82,-0.002223209249548403
83,-0.0012076159164212128
84,-0.0003754414309931177
85,-0.0008298197595574862
86,0.000144480963774978
87,-0.0005009131124132024
88,-0.0013732764031827334
89,-0.0018396591408118938
90,-0.0018796417171418923
91,-0.0012362751059771752
92,-0.0016770763883730234
93,6.757500682178473e-05
94,-0.00015531597394557051
95,-0.00012450419610841347
96,-0.0008406317550303426
97,-0.0008986425451534214
98,-0.00041120685752815515
99,-8.664688000448954e-05
100,-0.0002247370660072674
101,-0.0013565003621766967
102,-0.00011351792059529405
103,-0.00012819198862227404
104,1.5961276911033266e-05
105,-2.4786938930265734e-06
106,-0.0006201857146892528
107,-0.00026248813406819834
108,-0.0011588313710840636
109,-0.0005332410690249935
110,-0.0001208235651559168
111,-0.0026020504845013868
112,-0.000767078629750252
113,-0.0003928626876539129
114,-0.00049464393577191
115,-0.0003054736050901001
116,-0.0006716141173436375
117,-0.0003531127308571639
118,-0.0006482067035900292
119,-0.0004445416304393081
120,-0.0009599449153270077
121,-0.0013622666599757268
122,-0.00180197312221894
123,-0.001405588403753046
124,-0.0003401808599479434
125,-0.0004308054512092317
126,-0.0006933335609133609
127,-0.0008469357536084118
128,-0.0002740668803050744
129,-0.0011061686580854059
130,-0.00025906585701073164
131,-0.001323069032370239
132,-0.0009241145461342656
133,-0.0005710543822050867
134,-0.0005276467317560044
135,-0.0005131393193660112
136,-0.00225742829526779
137,-0.004644786812783307
138,-0.002938731377904416
139,-0.0016194370857500412
140,-0.001610613551544006
141,-0.002019215183316247
142,-0.0011520410808070853
143,-0.002233735609722988
144,-0.0015949519990891298
145,-0.0012543770823718004
146,-0.0016088472138271028
147,-0.0018166626038791187
148,-0.0021148960802584073
149,-0.0014648115284617734
150,-0.002220208425920288
151,-0.0027605582870397355
152,-0.001126522362536281
153,-0.0012279334624190515
154,-0.001690419522748592
155,-0.002924451849925177
156,-0.0038729674320651854
157,-0.0027225762197595014
158,-0.002580657458804073
159,-0.0017788942029971794
160,-0.0015092996856916497
161,-0.0015466131087428434
162,-0.0058145999962161115
163,-0.00924306733613281
164,-0.0065580656775323185
165,-0.005483743989674999
166,-0.0035009531606419297
167,-0.004317079919423409
168,-0.0040519205543878
169,-0.003580334697840925
170,-0.0029197566751271685
171,-0.002933678940210056
172,-0.0020191213606013687
173,-0.001570996329974434
174,-0.0026113215504763865
175,-0.00301997532515998
176,-0.0016139186552267563
177,-0.00283912190398705
178,-0.0019246669801998555
179,-0.0015462322135146615
180,-0.002367446557904206
181,-0.0015303344084019888
182,-0.0023422585184829075
183,-0.0015674960848168374
184,-0.0015527003839180785
185,-0.00215917495978157
186,-0.00428198092490269
187,-0.0030964256175268837
188,-0.0024492809218685727
189,-0.0029240608251629822
190,-0.0018249476790497352
191,-0.0025656116580342943
192,-0.002395495067906421
193,-0.0020711617679848113
194,-0.0037427168440170543
195,-0.0017379089110839182
196,-0.001601697661117606
197,-0.002404744100779989
198,-0.0020566917626623094
199,-0.0035393657267110065
200,-0.004144661753162571
201,-0.002082920762183558
202,-0.0023568027680180587
203,-0.003147607209086835
204,-0.003954285238485462
205,-0.0029115064849310496
206,-0.0032417100208587506
207,-0.0026794052268957775
208,-0.002227433227585481
209,-0.002417457873891313
210,-0.0027256107864017144
211,-0.003484300039800204
212,-0.003478125811957198
213,-0.0037245931140522694
214,-0.004183928020941301
215,-0.003190987633050032
216,-0.0033160754263182827
217,-0.0035602759567456427
218,-0.0020948417753672635
219,-0.0023665223283720095
220,-0.003627272835690259
221,-0.002360804610226327
222,-0.0040909727832999475
223,-0.0038358646624058416
224,-0.004179146363254461
225,-0.0039956853731720095
226,-0.004831164813687628
227,-0.004099687841469732
228,-0.0035768451818881768
229,-0.003221262991240625
230,-0.004232137777478977
231,-0.004462843657102847
232,-0.003976833895896642
233,-0.004309794258269467
234,-0.005304881906483216
235,-0.007686040437820011
236,-0.005574486226272745
237,-0.00794594864868531
238,-0.00035520906071251357
239,-0.0036460052912480004
240,-0.007862720978753093
241,-0.005860305182023675
242,-0.004651502227744093
243,-0.00465040845154625
244,-0.005051788390881089
245,-0.003918233573079074
246,-0.005844775274984044
247,-0.0046835374825871055
248,-0.004900291068867406
249,-0.005609844659829787
250,-0.004767416550223693
251,-0.0058913261643540465
252,-0.006750351641477569
253,-0.005827996733157689
254,-0.009090845357686719
255,-0.008313672056656257
256,-0.009189350142166165
257,-0.012495630433214711
258,-0.007410606040504716
259,-0.01410652370959583
260,-0.009996406607674969
261,-0.00966171599543629
262,-0.017961620083499913
263,-0.018118210932899753
264,-0.020317319676173964
265,-0.01502558617360036
266,-0.00992602236062243
267,-0.012943641847407473
268,-0.017643418550721685
269,-0.014219777106710931
270,-0.014049138484799197
